GPU Memory Track | 06-Jun-22-16:09:32 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 20 * Size:(3580, 450)          | Memory: 122.90 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(7,)                 | Memory: 5.3405 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(926,)               | Memory: 0.0070 M | <class 'torch.Tensor'> | torch.int64
+ | 4 * Size:(28, 15, 450)        | Memory: 2.8839 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(10592, 450)         | Memory: 36.364 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(158880,)            | Memory: 2.4243 M | <class 'torch.Tensor'> | torch.int64
+ | 85 * Size:(32, 450)            | Memory: 4.6691 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(738, 6)             | Memory: 0.0337 M | <class 'torch.Tensor'> | torch.int64
+ | 4 * Size:(21, 15, 450)        | Memory: 2.1629 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(18, 900)            | Memory: 0.2471 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(76920,)             | Memory: 0.5868 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(479, 932)           | Memory: 1.7029 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(3, 15, 450)         | Memory: 0.3089 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(3, 450)             | Memory: 0.0617 M | <class 'torch.Tensor'> | torch.float32
+ | 3 * Size:(15,)                | Memory: 0.0003 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(315, 450)           | Memory: 1.0814 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(926, 1)             | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1583, 450)          | Memory: 5.4347 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(10, 450)            | Memory: 0.2059 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(926, 900)           | Memory: 3.1791 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(6, 900)             | Memory: 0.1647 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(580, 60)            | Memory: 0.1327 M | <class 'torch.Tensor'> | torch.float32
+ | 16 * Size:(28, 450)            | Memory: 0.7690 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 19 * Size:(3580,)              | Memory: 0.5189 M | <class 'torch.Tensor'> | torch.int64
+ | 4 * Size:(12, 900)            | Memory: 0.1647 M | <class 'torch.Tensor'> | torch.float32
+ | 110 * Size:(1,)                 | Memory: 0.0008 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4,)                 | Memory: 3.0517 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(375, 450)           | Memory: 1.2874 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(895,)               | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
+ | 5 * Size:(2,)                 | Memory: 7.6293 M | <class 'torch.Tensor'> | torch.int64
+ | 12 * Size:(18, 450)            | Memory: 0.3707 M | <class 'torch.Tensor'> | torch.float32
+ | 16 * Size:(32,)                | Memory: 0.0039 M | <class 'torch.Tensor'> | torch.int64
+ | 4 * Size:(23,)                | Memory: 0.0007 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(580, 450, 1)        | Memory: 0.9956 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(25, 15, 450)        | Memory: 2.5749 M | <class 'torch.Tensor'> | torch.float32
+ | 3 * Size:(479,)               | Memory: 0.0109 M | <class 'torch.Tensor'> | torch.int64
+ | 4 * Size:(26, 15, 450)        | Memory: 2.6779 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(18, 15, 450)        | Memory: 1.8539 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(10592, 40)          | Memory: 1.6162 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(21,)                | Memory: 0.0003 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(29,)                | Memory: 0.0004 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(926, 510)           | Memory: 1.8015 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(23, 450)            | Memory: 0.4737 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(21, 450)            | Memory: 0.4325 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(6, 15, 450)         | Memory: 1.2359 M | <class 'torch.Tensor'> | torch.float32
+ | 12 * Size:(26, 450)            | Memory: 0.5355 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(21, 900)            | Memory: 0.2883 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(28, 900)            | Memory: 0.3845 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(22,)                | Memory: 0.0003 M | <class 'torch.Tensor'> | torch.int64
+ | 12 * Size:(31, 450)            | Memory: 0.6385 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(479, 450)           | Memory: 1.6445 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(10, 15, 450)        | Memory: 1.0299 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(465, 450)           | Memory: 1.5964 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(10592, 15)          | Memory: 1.2121 M | <class 'torch.Tensor'> | torch.int64
+ | 12 * Size:(25, 450)            | Memory: 0.5149 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(45, 450)            | Memory: 0.1544 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(31, 15, 450)        | Memory: 3.1929 M | <class 'torch.Tensor'> | torch.float32
